device,channel,calib_days,calib_samples,full_samples,calib_window_iqr,full_period_iqr,repr_ratio
A,0,1,8620,253646,1.029999,1.640001,0.628048
A,0,7,60308,253646,0.990000,1.640001,0.603658
A,1,1,8620,253646,2.172001,8.612999,0.252177
A,1,7,60308,253646,10.537003,8.612999,1.223384
A,2,1,8620,253646,239.000000,1520.000000,0.157237
A,2,7,60308,253646,899.000000,1520.000000,0.591447
A,3,1,8620,253646,421.381042,1112.270935,0.378847
A,3,7,60308,253646,530.901001,1112.270935,0.477313
A,4,1,8620,253646,4.470038,5.360509,0.833883
A,4,7,60308,253646,3.928171,5.360509,0.732798
B,0,1,8585,237166,0.920000,1.010000,0.910891
B,0,7,56742,237166,1.160002,1.010000,1.148516
B,1,1,8585,237166,2.553997,7.822998,0.326473
B,1,7,56742,237166,9.792000,7.822998,1.251694
B,2,1,8585,237166,239.000000,1530.000000,0.156209
B,2,7,56742,237166,859.000000,1530.000000,0.561438
B,3,1,8585,237166,590.833008,3200.410156,0.184612
B,3,7,56742,237166,1180.604065,3200.410156,0.368891
B,4,1,8585,237166,6.472346,6.478510,0.999049
B,4,7,56742,237166,6.483107,6.478510,1.000710
C,0,1,8618,253695,1.289999,2.620001,0.492366
C,0,7,60314,253695,1.750000,2.620001,0.667939
C,1,1,8618,253695,3.721001,9.379002,0.396737
C,1,7,60314,253695,11.563000,9.379002,1.232860
C,2,1,8618,253695,240.000000,1531.000000,0.156760
C,2,7,60314,253695,896.000000,1531.000000,0.585238
C,3,1,8618,253695,643.137024,1058.192017,0.607770
C,3,7,60314,253695,523.911987,1058.192017,0.495101
C,4,1,8618,253695,0.260875,4.666210,0.055907
C,4,7,60314,253695,2.252033,4.666210,0.482626
D,0,1,8621,253957,1.150000,2.220001,0.518018
D,0,7,60346,253957,1.660000,2.220001,0.747747
D,1,1,8621,253957,3.790001,10.226002,0.370624
D,1,7,60346,253957,13.583000,10.226002,1.328281
D,2,1,8621,253957,240.000000,1532.000000,0.156658
D,2,7,60346,253957,899.000000,1532.000000,0.586815
D,3,1,8621,253957,550.025024,2472.552979,0.222452
D,3,7,60346,253957,715.170959,2472.552979,0.289244
D,4,1,8621,253957,4.189655,5.545177,0.755549
D,4,7,60346,253957,4.450464,5.545177,0.802583
E,0,1,8622,253976,1.140001,2.150002,0.530233
E,0,7,60355,253976,1.610001,2.150002,0.748837
E,1,1,8622,253976,3.032001,9.819002,0.308789
E,1,7,60355,253976,13.043001,9.819002,1.328343
E,2,1,8622,253976,240.000000,1524.000000,0.157480
E,2,7,60355,253976,896.000000,1524.000000,0.587927
E,3,1,8622,253976,787.979980,2852.978088,0.276196
E,3,7,60355,253976,1128.404968,2852.978088,0.395518
E,4,1,8622,253976,6.369044,7.522400,0.846677
E,4,7,60355,253976,7.155006,7.522400,0.951160
F,0,1,8621,253677,0.650000,2.270000,0.286343
F,0,7,60336,253677,1.080000,2.270000,0.475771
F,1,1,8621,253677,1.707001,8.662998,0.197045
F,1,7,60336,253677,10.544998,8.662998,1.217246
F,2,1,8621,253677,237.000000,1528.000000,0.155105
F,2,7,60336,253677,900.000000,1528.000000,0.589005
F,3,1,8621,253677,661.660034,887.286011,0.745712
F,3,7,60336,253677,490.760010,887.286011,0.553102
F,4,1,8621,253677,3.091042,7.085901,0.436224
F,4,7,60336,253677,5.231109,7.085901,0.738242
G,0,1,8620,253593,0.849998,1.850000,0.459459
G,0,7,60310,253593,1.200001,1.850000,0.648649
G,1,1,8620,253593,2.425999,8.859999,0.273815
G,1,7,60310,253593,11.111000,8.859999,1.254063
G,2,1,8620,253593,236.000000,1525.000000,0.154754
G,2,7,60310,253593,898.000000,1525.000000,0.588852
G,3,1,8620,253593,463.922913,1767.072083,0.262538
G,3,7,60310,253593,651.570984,1767.072083,0.368729
G,4,1,8620,253593,0.036368,4.444034,0.008183
G,4,7,60310,253593,0.079349,4.444034,0.017855
H,0,1,8601,240165,1.269999,1.380001,0.920288
H,0,7,58591,240165,1.660000,1.380001,1.202898
H,1,1,8601,240165,3.006001,6.714001,0.447721
H,1,7,58591,240165,8.115999,6.714001,1.208817
H,2,1,8601,240165,236.000000,1522.000000,0.155059
H,2,7,58591,240165,877.000000,1522.000000,0.576216
H,3,1,8601,240165,595.328003,2386.953003,0.249409
H,3,7,58591,240165,944.530945,2386.953003,0.395706
H,4,1,8601,240165,8.202482,8.212297,0.998805
H,4,7,58591,240165,8.212840,8.212297,1.000066
