device,channel,calib_days,calib_samples,full_samples,calib_window_iqr,full_period_iqr,repr_ratio
A,0,1,8620,253379,1.029999,1.230000,0.837398
A,0,7,123659,253379,0.750000,1.230000,0.609756
A,1,1,8620,253379,2.172001,8.256001,0.263081
A,1,7,123659,253379,5.752001,8.256001,0.696705
A,2,1,8620,253379,239.000000,1168.000000,0.204623
A,2,7,123659,253379,597.000000,1168.000000,0.511130
A,3,1,8620,253379,421.381042,895.980042,0.470302
A,3,7,123659,253379,662.947021,895.980042,0.739913
A,4,1,8620,253379,4.470038,4.808111,0.929687
A,4,7,123659,253379,4.106310,4.808111,0.854038
B,0,1,8585,236919,0.920000,1.120001,0.821428
B,0,7,117440,236919,1.350000,1.120001,1.205357
B,1,1,8585,236919,2.553997,7.925999,0.322230
B,1,7,117440,236919,5.735003,7.925999,0.723568
B,2,1,8585,236919,239.000000,1130.000000,0.211504
B,2,7,117440,236919,562.000000,1130.000000,0.497345
B,3,1,8585,236919,590.833008,2319.641968,0.254709
B,3,7,117440,236919,1070.467041,2319.641968,0.461479
B,4,1,8585,236919,6.472346,6.480045,0.998812
B,4,7,117440,236919,3.806662,6.480045,0.587444
C,0,1,8618,252813,1.289999,2.219999,0.581081
C,0,7,123083,252813,2.059999,2.219999,0.927928
C,1,1,8618,252813,3.721001,9.181999,0.405250
C,1,7,123083,252813,5.462000,9.181999,0.594860
C,2,1,8618,252813,240.000000,1174.000000,0.204429
C,2,7,123083,252813,606.000000,1174.000000,0.516184
C,3,1,8618,252813,643.137024,799.763977,0.804159
C,3,7,123083,252813,511.291931,799.763977,0.639304
C,4,1,8618,252813,0.260875,3.898811,0.066912
C,4,7,123083,252813,3.695997,3.898811,0.947981
D,0,1,8621,253681,1.150000,1.970001,0.583756
D,0,7,123799,253681,1.790001,1.970001,0.908629
D,1,1,8621,253681,3.790001,9.626999,0.393685
D,1,7,123799,253681,5.741001,9.626999,0.596344
D,2,1,8621,253681,240.000000,1175.000000,0.204255
D,2,7,123799,253681,597.000000,1175.000000,0.508085
D,3,1,8621,253681,550.025024,1519.174988,0.362055
D,3,7,123799,253681,843.715027,1519.174988,0.555377
D,4,1,8621,253681,4.189655,4.988162,0.839919
D,4,7,123799,253681,4.567814,4.988162,0.915731
E,0,1,8622,253125,1.140001,1.969999,0.578681
E,0,7,123214,253125,1.670000,1.969999,0.847716
E,1,1,8622,253125,3.032001,9.147999,0.331439
E,1,7,123214,253125,5.190998,9.147999,0.567446
E,2,1,8622,253125,240.000000,1172.000000,0.204778
E,2,7,123214,253125,604.000000,1172.000000,0.515358
E,3,1,8622,253125,787.979980,1859.156921,0.423837
E,3,7,123214,253125,1268.236023,1859.156921,0.682157
E,4,1,8622,253125,6.369044,7.247081,0.878843
E,4,7,123214,253125,6.370757,7.247081,0.879079
F,0,1,8621,253326,0.650000,1.570000,0.414013
F,0,7,123639,253326,1.020000,1.570000,0.649682
F,1,1,8621,253326,1.707001,7.867998,0.216955
F,1,7,123639,253326,5.381998,7.867998,0.684037
F,2,1,8621,253326,237.000000,1175.000000,0.201702
F,2,7,123639,253326,598.000000,1175.000000,0.508936
F,3,1,8621,253326,661.660034,683.351074,0.968258
F,3,7,123639,253326,400.555054,683.351074,0.586163
F,4,1,8621,253326,3.091042,6.242223,0.495183
F,4,7,123639,253326,5.379897,6.242223,0.861856
G,0,1,8620,253354,0.849998,1.459999,0.582191
G,0,7,123711,253354,1.199999,1.459999,0.821918
G,1,1,8620,253354,2.425999,8.393999,0.289016
G,1,7,123711,253354,5.358999,8.393999,0.638432
G,2,1,8620,253354,236.000000,1170.000000,0.201709
G,2,7,123711,253354,596.000000,1170.000000,0.509402
G,3,1,8620,253354,463.922913,1283.972961,0.361318
G,3,7,123711,253354,785.225037,1283.972961,0.611559
G,4,1,8620,253354,0.036368,4.050741,0.008978
G,4,7,123711,253354,1.651452,4.050741,0.407691
H,0,1,8601,243279,1.269999,1.700001,0.747058
H,0,7,121257,243279,1.990000,1.700001,1.170588
H,1,1,8601,243279,3.006001,6.608999,0.454834
H,1,7,121257,243279,5.463001,6.608999,0.826600
H,2,1,8601,243279,236.000000,1169.000000,0.201882
H,2,7,121257,243279,565.000000,1169.000000,0.483319
H,3,1,8601,243279,595.328003,1403.123962,0.424288
H,3,7,121257,243279,811.256042,1403.123962,0.578178
H,4,1,8601,243279,8.202482,8.200014,1.000301
H,4,7,121257,243279,7.953670,8.200014,0.969958
