device,channel,calib_days,calib_samples,full_samples,calib_window_iqr,full_period_iqr,repr_ratio
A,0,1,8620,260432,1.029999,1.640001,0.628048
A,0,7,60308,260432,0.990000,1.640001,0.603658
A,1,1,8620,260432,2.172001,8.751999,0.248172
A,1,7,60308,260432,10.537003,8.751999,1.203954
A,2,1,8620,260432,239.000000,1536.000000,0.155599
A,2,7,60308,260432,899.000000,1536.000000,0.585286
A,3,1,8620,260432,421.381042,1101.642029,0.382503
A,3,7,60308,260432,530.901001,1101.642029,0.481918
A,4,1,8620,260432,4.470038,5.369475,0.832491
A,4,7,60308,260432,3.928171,5.369475,0.731575
B,0,1,8585,243747,0.920000,1.020000,0.901960
B,0,7,56742,243747,1.160002,1.020000,1.137256
B,1,1,8585,243747,2.553997,8.077000,0.316206
B,1,7,56742,243747,9.792000,8.077000,1.212331
B,2,1,8585,243747,239.000000,1531.000000,0.156107
B,2,7,56742,243747,859.000000,1531.000000,0.561071
B,3,1,8585,243747,590.833008,3243.532104,0.182157
B,3,7,56742,243747,1180.604065,3243.532104,0.363987
B,4,1,8585,243747,6.472346,6.476972,0.999286
B,4,7,56742,243747,6.483107,6.476972,1.000947
C,0,1,8618,260439,1.289999,2.640001,0.488636
C,0,7,60314,260439,1.750000,2.640001,0.662878
C,1,1,8618,260439,3.721001,9.587002,0.388130
C,1,7,60314,260439,11.563000,9.587002,1.206112
C,2,1,8618,260439,240.000000,1529.000000,0.156965
C,2,7,60314,260439,896.000000,1529.000000,0.586004
C,3,1,8618,260439,643.137024,1048.964050,0.613116
C,3,7,60314,260439,523.911987,1048.964050,0.499457
C,4,1,8618,260439,0.260875,4.765906,0.054738
C,4,7,60314,260439,2.252033,4.765906,0.472530
D,0,1,8621,260701,1.150000,2.259998,0.508850
D,0,7,60346,260701,1.660000,2.259998,0.734514
D,1,1,8621,260701,3.790001,10.518002,0.360335
D,1,7,60346,260701,13.583000,10.518002,1.291405
D,2,1,8621,260701,240.000000,1539.000000,0.155945
D,2,7,60346,260701,899.000000,1539.000000,0.584146
D,3,1,8621,260701,550.025024,2381.838135,0.230925
D,3,7,60346,260701,715.170959,2381.838135,0.300260
D,4,1,8621,260701,4.189655,5.633598,0.743691
D,4,7,60346,260701,4.450464,5.633598,0.789986
E,0,1,8622,260725,1.140001,2.170000,0.525346
E,0,7,60355,260725,1.610001,2.170000,0.741936
E,1,1,8622,260725,3.032001,10.005999,0.303018
E,1,7,60355,260725,13.043001,10.005999,1.303518
E,2,1,8622,260725,240.000000,1538.000000,0.156047
E,2,7,60355,260725,896.000000,1538.000000,0.582575
E,3,1,8622,260725,787.979980,2812.563110,0.280164
E,3,7,60355,260725,1128.404968,2812.563110,0.401202
E,4,1,8622,260725,6.369044,7.526448,0.846222
E,4,7,60355,260725,7.155006,7.526448,0.950648
F,0,1,8621,260449,0.650000,2.279999,0.285088
F,0,7,60336,260449,1.080000,2.279999,0.473684
F,1,1,8621,260449,1.707001,8.845001,0.192990
F,1,7,60336,260449,10.544998,8.845001,1.192199
F,2,1,8621,260449,237.000000,1536.000000,0.154297
F,2,7,60336,260449,900.000000,1536.000000,0.585938
F,3,1,8621,260449,661.660034,886.632996,0.746261
F,3,7,60336,260449,490.760010,886.632996,0.553510
F,4,1,8621,260449,3.091042,7.225481,0.427797
F,4,7,60336,260449,5.231109,7.225481,0.723981
G,0,1,8620,260332,0.849998,1.850000,0.459459
G,0,7,60310,260332,1.200001,1.850000,0.648649
G,1,1,8620,260332,2.425999,8.945999,0.271183
G,1,7,60310,260332,11.111000,8.945999,1.242008
G,2,1,8620,260332,236.000000,1531.000000,0.154148
G,2,7,60310,260332,898.000000,1531.000000,0.586545
G,3,1,8620,260332,463.922913,1760.232910,0.263558
G,3,7,60310,260332,651.570984,1760.232910,0.370162
G,4,1,8620,260332,0.036368,4.446105,0.008180
G,4,7,60310,260332,0.079349,4.446105,0.017847
H,0,1,8601,242865,1.269999,1.420000,0.894365
H,0,7,58591,242865,1.660000,1.420000,1.169014
H,1,1,8601,242865,3.006001,6.753000,0.445136
H,1,7,58591,242865,8.115999,6.753000,1.201836
H,2,1,8601,242865,236.000000,1534.000000,0.153846
H,2,7,58591,242865,877.000000,1534.000000,0.571708
H,3,1,8601,242865,595.328003,2384.633057,0.249652
H,3,7,58591,242865,944.530945,2384.633057,0.396091
H,4,1,8601,242865,8.202482,8.211754,0.998871
H,4,7,58591,242865,8.212840,8.211754,1.000132
