device,channel,n,p1,p99,spread_p99_p1,excess_kurtosis
A,0,245024,-1.786410,3.378644,5.165054,-0.373898
A,1,245024,-6.233663,2.323887,8.557551,-1.051964
A,2,245024,-11.267782,6.414226,17.682008,-0.665432
A,3,245024,-0.549396,8.584470,9.133866,2.673144
A,4,245024,-0.997453,0.384206,1.381658,-1.754913
B,0,228513,-2.065217,2.184783,4.249999,0.198094
B,1,228513,-5.177813,2.525571,7.703384,-0.872330
B,2,228513,-10.814346,6.472574,17.286920,-0.711883
B,3,228513,-1.775891,13.608169,15.384060,0.489079
B,4,228513,-0.027864,1.044892,1.072755,-1.746260
C,0,245044,-1.992249,4.496128,6.488378,-0.230811
C,1,245044,-4.654942,1.256294,5.911235,-0.984107
C,2,245044,-11.336134,6.428571,17.764706,-0.670498
C,3,245044,-0.527528,6.606573,7.134101,4.797814
C,4,245044,-3.475096,34.440613,37.915709,103.511158
D,0,245281,-1.521740,9.921742,11.443482,17.023639
D,1,245281,-6.097170,1.594694,7.691864,-0.413930
D,2,245281,-11.258333,6.362500,17.620833,-0.666388
D,3,245281,-0.716353,23.101114,23.817467,5.331083
D,4,245281,-0.007692,486.453846,486.461538,46.911418
E,0,245320,-1.315788,5.184204,6.499992,-0.095367
E,1,245320,-6.276143,1.728151,8.004294,-0.870291
E,2,245320,-11.344538,6.420168,17.764706,-0.669788
E,3,245320,-0.579282,14.518249,15.097532,4.123713
E,4,245320,-0.000858,6.373391,6.374249,9.335465
F,0,245043,-3.015385,7.338467,10.353852,-0.455408
F,1,245043,-8.582611,3.452003,12.034614,-0.934117
F,2,245043,-11.313808,6.376569,17.690377,-0.666172
F,3,245043,-0.627565,2.934980,3.562545,0.054044
F,4,245043,-0.047619,55.273810,55.321429,3.865579
G,0,244920,-2.564711,4.305890,6.870601,-0.407414
G,1,244920,-6.138603,2.196032,8.334636,-1.041311
G,2,244920,-11.436441,6.461864,17.898305,-0.663683
G,3,244920,-0.607543,10.346739,10.954282,0.672696
G,4,244920,-26.826923,10.884615,37.711538,-1.764292
H,0,231512,-2.023440,1.851565,3.875004,0.080891
H,1,231512,-4.116090,1.734945,5.851035,-0.830473
H,2,231512,-10.924370,6.428571,17.352941,-0.672247
H,3,231512,-0.951744,12.185227,13.136971,1.103552
H,4,231512,-0.769526,0.297068,1.066594,-1.716919
