device,channel,n,p1,p99,spread_p99_p1,excess_kurtosis
A,0,245037,-1.786410,3.378644,5.165054,-0.373966
A,1,245037,-6.233663,2.323887,8.557551,-1.052044
A,2,245037,-11.267782,6.414226,17.682008,-0.665637
A,3,245037,-0.549396,8.584470,9.133866,2.673253
A,4,245037,-1.717058,0.072864,1.789922,-1.349219
B,0,228504,-2.065217,2.184783,4.249999,0.198221
B,1,228504,-5.177813,2.525571,7.703384,-0.872268
B,2,228504,-10.814346,6.472574,17.286920,-0.711738
B,3,228504,-1.775891,13.608169,15.384060,0.488937
B,4,228504,-0.454926,0.555909,1.010835,-1.753852
C,0,245035,-1.992249,4.496128,6.488378,-0.230742
C,1,245035,-4.654942,1.256294,5.911235,-0.984123
C,2,245035,-11.336134,6.428571,17.764706,-0.670359
C,3,245035,-0.527528,6.606573,7.134101,4.797671
C,4,245035,-26.197230,9.187519,35.384750,-1.080421
D,0,245294,-1.521740,9.921742,11.443482,17.021534
D,1,245294,-6.097170,1.594694,7.691864,-0.413895
D,2,245294,-11.258333,6.362500,17.620833,-0.666591
D,3,245294,-0.716353,23.101114,23.817467,5.331347
D,4,245294,-0.096778,2.376356,2.473134,-1.200210
E,0,245311,-1.315788,5.184204,6.499992,-0.095283
E,1,245311,-6.276143,1.728151,8.004294,-0.870293
E,2,245311,-11.344538,6.420168,17.764706,-0.669649
E,3,245311,-0.579282,14.518249,15.097532,4.123622
E,4,245311,-0.063662,1.226934,1.290596,-1.848240
F,0,245038,-3.015385,7.338467,10.353852,-0.455401
F,1,245038,-8.582611,3.452003,12.034614,-0.934096
F,2,245038,-11.313808,6.376569,17.690377,-0.666094
F,3,245038,-0.627565,2.934980,3.562545,0.054017
F,4,245038,-0.520678,2.211149,2.731827,-1.712378
G,0,244932,-2.564711,4.305890,6.870601,-0.407525
G,1,244932,-6.138603,2.196032,8.334636,-1.041348
G,2,244932,-11.436441,6.461864,17.898305,-0.663872
G,3,244932,-0.607543,10.346739,10.954282,0.672779
G,4,244932,-176.549124,9.169831,185.718955,-1.277163
H,0,231506,-2.023440,1.851565,3.875004,0.080804
H,1,231506,-4.116090,1.734945,5.851035,-0.830464
H,2,231506,-10.924370,6.428571,17.352941,-0.672145
H,3,231506,-0.951744,12.185227,13.136971,1.103432
H,4,231506,-0.968071,0.039787,1.007858,-1.716587
