device,channel,n,p1,p99,spread_p99_p1,iqr,body_width,iqr_over_body,excess_kurtosis
A,0,244998,-1.786410,3.378644,5.165054,1.592234,3.970879,0.400978,-0.373766
A,1,244998,-6.233663,2.323887,8.557551,3.847312,7.375364,0.521644,-1.051807
A,2,244998,-11.267782,6.414226,17.682008,6.569038,12.464435,0.527022,-0.665021
A,3,244998,-0.549401,8.584708,9.134109,2.707692,6.085260,0.444959,2.672918
A,4,244998,-1.717058,0.072864,1.789922,1.200954,1.778936,0.675097,-1.348795
B,0,228512,-2.065217,2.184783,4.249999,1.097826,3.043479,0.360714,0.198109
B,1,228512,-5.177813,2.525571,7.703384,3.101495,6.095988,0.508776,-0.872323
B,2,228512,-10.814346,6.472574,17.286920,6.616034,12.476793,0.530267,-0.711867
B,3,228512,-1.775891,13.608169,15.384060,5.574016,12.497595,0.446007,0.489064
B,4,228512,-0.454926,0.555909,1.010835,1.001189,1.007231,0.994002,-1.753850
C,0,245043,-1.992249,4.496128,6.488378,2.062017,5.007755,0.411765,-0.230803
C,1,245043,-4.654942,1.256294,5.911235,2.519353,5.013535,0.502510,-0.984109
C,2,245043,-11.336134,6.428571,17.764706,6.567227,12.525210,0.524321,-0.670482
C,3,245043,-0.527528,6.606573,7.134101,1.677086,4.296445,0.390343,4.797798
C,4,245043,-26.197230,9.187519,35.384750,18.365146,34.587896,0.530970,-1.080587
D,0,245304,-1.521740,9.921742,11.443482,1.947827,5.886959,0.330871,17.019917
D,1,245304,-6.096906,1.594430,7.691336,2.644928,5.638131,0.469114,-0.413869
D,2,245304,-11.258333,6.362500,17.620833,6.533333,12.450000,0.524766,-0.666747
D,3,245304,-0.716353,23.095728,23.812081,4.620117,15.733917,0.293641,5.331550
D,4,245304,-0.096778,2.376333,2.473111,1.346063,1.939204,0.694132,-1.200150
E,0,245320,-1.315788,5.184204,6.499992,1.859646,5.096485,0.364888,-0.095367
E,1,245320,-6.276143,1.728151,8.004294,3.122226,6.597345,0.473255,-0.870291
E,2,245320,-11.344538,6.420168,17.764706,6.605042,12.542017,0.526633,-0.669788
E,3,245320,-0.579282,14.518249,15.097532,3.689802,8.906760,0.414270,4.123713
E,4,245320,-0.063662,1.226934,1.290596,1.181766,1.260927,0.937220,-1.848240
F,0,245022,-3.015385,7.338467,10.353852,3.584617,8.215390,0.436330,-0.455382
F,1,245022,-8.582611,3.452003,12.034614,4.973868,9.884927,0.503177,-0.934028
F,2,245022,-11.313808,6.376569,17.690377,6.548117,12.481172,0.524640,-0.665842
F,3,245022,-0.627559,2.934980,3.562539,1.351583,2.829841,0.477618,0.053931
F,4,245022,-0.520678,2.211149,2.731827,2.323356,2.599851,0.893650,-1.712371
G,0,244942,-2.564711,4.305890,6.870601,2.211768,5.341185,0.414097,-0.407619
G,1,244942,-6.138603,2.196032,8.334636,3.566203,7.041516,0.506454,-1.041379
G,2,244942,-11.436441,6.461864,17.898305,6.618644,12.618644,0.524513,-0.664029
G,3,244942,-0.607543,10.346739,10.954282,3.908188,8.233883,0.474647,0.672849
G,4,244942,-176.549124,9.169831,185.718955,119.822891,173.219054,0.691742,-1.277344
H,0,231516,-2.023440,1.851565,3.875004,1.078127,2.671878,0.403509,0.080949
H,1,231516,-4.116090,1.734945,5.851035,2.239223,4.769337,0.469504,-0.830479
H,2,231516,-10.924370,6.428571,17.352941,6.550420,12.495798,0.524210,-0.672315
H,3,231516,-0.951744,12.185227,13.136971,4.104234,10.569572,0.388307,1.103631
H,4,231516,-0.968071,0.039787,1.007858,1.001362,1.005709,0.995677,-1.716636
