device,hour_utc,outliers,point_obs,outlier_rate
G,0,1227,618780,0.001983
G,1,19,607860,0.000031
G,2,498,624660,0.000797
G,3,60,624480,0.000096
G,4,163,624720,0.000261
G,5,2133,606780,0.003515
G,6,41524,603000,0.068862
G,7,9470,603120,0.015702
G,8,3569,602640,0.005922
G,9,3989,607020,0.006571
G,10,9375,622800,0.015053
G,11,3880,623460,0.006223
G,12,4242,624180,0.006796
G,13,3838,623460,0.006156
G,14,1253,623520,0.002010
G,15,2253,622620,0.003619
G,16,1150,622860,0.001846
G,17,552,614940,0.000898
G,18,1654,602940,0.002743
G,19,826,585540,0.001411
G,20,2709,598500,0.004526
G,21,1337,602640,0.002219
G,22,1095,603000,0.001816
G,23,1482,603000,0.002458
