device,R,k,slides,meanWindowPoints,meanOutlierRate,fracZeroSlides
A,0.50,5,41215,356.73,0.000266,0.9886
A,0.50,10,41215,356.73,0.000690,0.9736
A,0.50,20,41215,356.73,0.002312,0.9521
A,1.00,5,41215,356.73,0.000181,0.9984
A,1.00,10,41215,356.73,0.000378,0.9945
A,1.00,20,41215,356.73,0.000955,0.9845
A,1.50,5,41215,356.73,0.000171,0.9996
A,1.50,10,41215,356.73,0.000321,0.9992
A,1.50,20,41215,356.73,0.000653,0.9965
A,2.00,5,41215,356.73,0.000170,0.9998
A,2.00,10,41215,356.73,0.000318,0.9994
A,2.00,20,41215,356.73,0.000629,0.9974
A,2.50,5,41215,356.73,0.000170,0.9998
A,2.50,10,41215,356.73,0.000317,0.9996
A,2.50,20,41215,356.73,0.000613,0.9991
A,3.00,5,41215,356.73,0.000170,0.9998
A,3.00,10,41215,356.73,0.000316,0.9996
A,3.00,20,41215,356.73,0.000611,0.9992
B,0.50,5,41204,332.71,0.000249,0.9940
B,0.50,10,41204,332.71,0.000947,0.9785
B,0.50,20,41204,332.71,0.005120,0.9096
B,1.00,5,41204,332.71,0.000188,0.9986
B,1.00,10,41204,332.71,0.000477,0.9951
B,1.00,20,41204,332.71,0.001344,0.9854
B,1.50,5,41204,332.71,0.000173,0.9996
B,1.50,10,41204,332.71,0.000289,0.9989
B,1.50,20,41204,332.71,0.000801,0.9958
B,2.00,5,41204,332.71,0.000170,0.9998
B,2.00,10,41204,332.71,0.000273,0.9996
B,2.00,20,41204,332.71,0.000632,0.9981
B,2.50,5,41204,332.71,0.000170,0.9998
B,2.50,10,41204,332.71,0.000267,0.9997
B,2.50,20,41204,332.71,0.000597,0.9989
B,3.00,5,41204,332.71,0.000170,0.9998
B,3.00,10,41204,332.71,0.000267,0.9997
B,3.00,20,41204,332.71,0.000586,0.9992
C,0.50,5,41211,356.72,0.017818,0.7732
C,0.50,10,41211,356.72,0.034402,0.7362
C,0.50,20,41211,356.72,0.070844,0.6719
C,1.00,5,41211,356.72,0.006671,0.8465
C,1.00,10,41211,356.72,0.013779,0.7965
C,1.00,20,41211,356.72,0.028399,0.7592
C,1.50,5,41211,356.72,0.004264,0.8811
C,1.50,10,41211,356.72,0.008198,0.8478
C,1.50,20,41211,356.72,0.017277,0.7988
C,2.00,5,41211,356.72,0.003302,0.9036
C,2.00,10,41211,356.72,0.005812,0.8666
C,2.00,20,41211,356.72,0.012056,0.8379
C,2.50,5,41211,356.72,0.002823,0.9256
C,2.50,10,41211,356.72,0.004604,0.8854
C,2.50,20,41211,356.72,0.009274,0.8514
C,3.00,5,41211,356.72,0.002457,0.9394
C,3.00,10,41211,356.72,0.003894,0.9042
C,3.00,20,41211,356.72,0.007604,0.8664
D,0.50,5,41218,357.10,0.053930,0.7636
D,0.50,10,41218,357.10,0.085409,0.7256
D,0.50,20,41218,357.10,0.133869,0.6577
D,1.00,5,41218,357.10,0.028180,0.8152
D,1.00,10,41218,357.10,0.047177,0.7829
D,1.00,20,41218,357.10,0.077419,0.7477
D,1.50,5,41218,357.10,0.019013,0.8498
D,1.50,10,41218,357.10,0.032682,0.8120
D,1.50,20,41218,357.10,0.056043,0.7805
D,2.00,5,41218,357.10,0.014215,0.8716
D,2.00,10,41218,357.10,0.024875,0.8352
D,2.00,20,41218,357.10,0.043774,0.8013
D,2.50,5,41218,357.10,0.011247,0.8852
D,2.50,10,41218,357.10,0.020203,0.8517
D,2.50,20,41218,357.10,0.036133,0.8161
D,3.00,5,41218,357.10,0.009425,0.8945
D,3.00,10,41218,357.10,0.017056,0.8682
D,3.00,20,41218,357.10,0.030923,0.8289
E,0.50,5,41211,357.13,0.002085,0.9039
E,0.50,10,41211,357.13,0.004197,0.8621
E,0.50,20,41211,357.13,0.010995,0.7940
E,1.00,5,41211,357.13,0.001009,0.9696
E,1.00,10,41211,357.13,0.001810,0.9520
E,1.00,20,41211,357.13,0.003746,0.9190
E,1.50,5,41211,357.13,0.000727,0.9823
E,1.50,10,41211,357.13,0.001305,0.9733
E,1.50,20,41211,357.13,0.002657,0.9598
E,2.00,5,41211,357.13,0.000477,0.9847
E,2.00,10,41211,357.13,0.001063,0.9781
E,2.00,20,41211,357.13,0.002259,0.9695
E,2.50,5,41211,357.13,0.000256,0.9884
E,2.50,10,41211,357.13,0.000831,0.9810
E,2.50,20,41211,357.13,0.001977,0.9739
E,3.00,5,41211,357.13,0.000185,0.9957
E,3.00,10,41211,357.13,0.000710,0.9836
E,3.00,20,41211,357.13,0.001828,0.9787
F,0.50,5,41218,356.73,0.020878,0.8059
F,0.50,10,41218,356.73,0.045504,0.7607
F,0.50,20,41218,356.73,0.087985,0.6930
F,1.00,5,41218,356.73,0.005397,0.8611
F,1.00,10,41218,356.73,0.014695,0.8325
F,1.00,20,41218,356.73,0.036308,0.7939
F,1.50,5,41218,356.73,0.002282,0.8908
F,1.50,10,41218,356.73,0.006711,0.8570
F,1.50,20,41218,356.73,0.019940,0.8272
F,2.00,5,41218,356.73,0.001405,0.9160
F,2.00,10,41218,356.73,0.003899,0.8792
F,2.00,20,41218,356.73,0.012215,0.8491
F,2.50,5,41218,356.73,0.000982,0.9313
F,2.50,10,41218,356.73,0.002628,0.8987
F,2.50,20,41218,356.73,0.008399,0.8656
F,3.00,5,41218,356.73,0.000741,0.9425
F,3.00,10,41218,356.73,0.001963,0.9116
F,3.00,20,41218,356.73,0.006091,0.8780
G,0.50,5,41218,356.57,0.003218,0.8453
G,0.50,10,41218,356.57,0.007836,0.7926
G,0.50,20,41218,356.57,0.021822,0.7118
G,1.00,5,41218,356.57,0.001033,0.9233
G,1.00,10,41218,356.57,0.002261,0.8944
G,1.00,20,41218,356.57,0.005730,0.8500
G,1.50,5,41218,356.57,0.000749,0.9494
G,1.50,10,41218,356.57,0.001290,0.9322
G,1.50,20,41218,356.57,0.003000,0.8985
G,2.00,5,41218,356.57,0.000650,0.9558
G,2.00,10,41218,356.57,0.001032,0.9459
G,2.00,20,41218,356.57,0.002179,0.9274
G,2.50,5,41218,356.57,0.000607,0.9585
G,2.50,10,41218,356.57,0.000891,0.9540
G,2.50,20,41218,356.57,0.001761,0.9387
G,3.00,5,41218,356.57,0.000562,0.9599
G,3.00,10,41218,356.57,0.000813,0.9562
G,3.00,20,41218,356.57,0.001511,0.9474
H,0.50,5,41208,337.05,0.000458,0.9844
H,0.50,10,41208,337.05,0.001245,0.9609
H,0.50,20,41208,337.05,0.005127,0.9165
H,1.00,5,41208,337.05,0.000201,0.9970
H,1.00,10,41208,337.05,0.000453,0.9925
H,1.00,20,41208,337.05,0.001673,0.9776
H,1.50,5,41208,337.05,0.000187,0.9983
H,1.50,10,41208,337.05,0.000356,0.9974
H,1.50,20,41208,337.05,0.001009,0.9918
H,2.00,5,41208,337.05,0.000181,0.9983
H,2.00,10,41208,337.05,0.000339,0.9979
H,2.00,20,41208,337.05,0.000710,0.9960
H,2.50,5,41208,337.05,0.000175,0.9984
H,2.50,10,41208,337.05,0.000332,0.9982
H,2.50,20,41208,337.05,0.000638,0.9976
H,3.00,5,41208,337.05,0.000170,0.9998
H,3.00,10,41208,337.05,0.000327,0.9982
H,3.00,20,41208,337.05,0.000629,0.9978
