device,R,k,slides,meanWindowPoints,meanOutlierRate,fracZeroSlides
A,0.75,10,21846,355.79,0.000568,0.9849
A,1.00,10,21846,355.79,0.000514,0.9946
A,1.25,10,21846,355.79,0.000484,0.9976
A,1.50,10,21846,355.79,0.000480,0.9978
A,1.75,10,21846,355.79,0.000478,0.9980
B,0.75,10,21253,326.75,0.000472,0.9971
B,1.00,10,21253,326.75,0.000432,0.9990
B,1.25,10,21253,326.75,0.000423,0.9996
B,1.50,10,21253,326.75,0.000423,0.9996
B,1.75,10,21253,326.75,0.000423,0.9996
C,0.75,10,21851,355.76,0.000750,0.9597
C,1.00,10,21851,355.76,0.000675,0.9696
C,1.25,10,21851,355.76,0.000554,0.9856
C,1.50,10,21851,355.76,0.000438,0.9977
C,1.75,10,21851,355.76,0.000429,0.9982
D,0.75,10,21853,356.23,0.000973,0.9779
D,1.00,10,21853,356.23,0.000671,0.9838
D,1.25,10,21853,356.23,0.000555,0.9934
D,1.50,10,21853,356.23,0.000520,0.9973
D,1.75,10,21853,356.23,0.000511,0.9985
E,0.75,10,21857,356.26,0.000505,0.9951
E,1.00,10,21857,356.26,0.000480,0.9974
E,1.25,10,21857,356.26,0.000463,0.9989
E,1.50,10,21857,356.26,0.000462,0.9991
E,1.75,10,21857,356.26,0.000461,0.9993
F,0.75,10,21850,355.72,0.000427,0.9973
F,1.00,10,21850,355.72,0.000419,0.9989
F,1.25,10,21850,355.72,0.000415,0.9993
F,1.50,10,21850,355.72,0.000414,0.9995
F,1.75,10,21850,355.72,0.000413,0.9995
G,0.75,10,21846,355.59,0.012123,0.7164
G,1.00,10,21846,355.59,0.007116,0.7678
G,1.25,10,21846,355.59,0.004411,0.7969
G,1.50,10,21846,355.59,0.003063,0.8221
G,1.75,10,21846,355.59,0.002431,0.8444
H,0.75,10,21561,334.30,0.000574,0.9949
H,1.00,10,21561,334.30,0.000500,0.9984
H,1.25,10,21561,334.30,0.000481,0.9992
H,1.50,10,21561,334.30,0.000464,0.9995
H,1.75,10,21561,334.30,0.000464,0.9995
