device,R,k,slides,meanWindowPoints,meanOutlierRate,fracZeroSlides
A,0.75,10,41212,356.73,0.000475,0.9877
A,1.00,10,41212,356.73,0.000402,0.9945
A,1.25,10,41212,356.73,0.000360,0.9975
A,1.50,10,41212,356.73,0.000345,0.9992
A,1.75,10,41212,356.73,0.000343,0.9993
B,0.75,10,41209,332.71,0.000697,0.9904
B,1.00,10,41209,332.71,0.000477,0.9951
B,1.25,10,41209,332.71,0.000392,0.9970
B,1.50,10,41209,332.71,0.000289,0.9989
B,1.75,10,41209,332.71,0.000277,0.9992
C,0.75,10,41216,356.72,0.019951,0.7733
C,1.00,10,41216,356.72,0.013777,0.7965
C,1.25,10,41216,356.72,0.010334,0.8176
C,1.50,10,41216,356.72,0.008197,0.8478
C,1.75,10,41216,356.72,0.006749,0.8569
D,0.75,10,41212,357.10,0.060725,0.7631
D,1.00,10,41212,357.10,0.047184,0.7829
D,1.25,10,41212,357.10,0.038568,0.7982
D,1.50,10,41212,357.10,0.032687,0.8120
D,1.75,10,41212,357.10,0.028049,0.8232
E,0.75,10,41216,357.12,0.002464,0.9173
E,1.00,10,41216,357.12,0.001810,0.9520
E,1.25,10,41216,357.12,0.001492,0.9666
E,1.50,10,41216,357.12,0.001304,0.9733
E,1.75,10,41216,357.12,0.001187,0.9753
F,0.75,10,41215,356.73,0.023938,0.8054
F,1.00,10,41215,356.73,0.014696,0.8325
F,1.25,10,41215,356.73,0.009614,0.8489
F,1.50,10,41215,356.73,0.006712,0.8570
F,1.75,10,41215,356.73,0.004987,0.8696
G,0.75,10,41212,356.58,0.003692,0.8504
G,1.00,10,41212,356.58,0.002261,0.8944
G,1.25,10,41212,356.58,0.001660,0.9153
G,1.50,10,41212,356.58,0.001290,0.9322
G,1.75,10,41212,356.58,0.001127,0.9408
H,0.75,10,41212,337.06,0.000673,0.9833
H,1.00,10,41212,337.06,0.000453,0.9925
H,1.25,10,41212,337.06,0.000375,0.9966
H,1.50,10,41212,337.06,0.000356,0.9974
H,1.75,10,41212,337.06,0.000345,0.9978
