device,R,k,slides,meanWindowPoints,meanOutlierRate,fracZeroSlides
A,2.00,10,41212,356.73,0.000343,0.9994
A,2.25,10,41212,356.73,0.000341,0.9995
A,2.50,10,41212,356.73,0.000341,0.9995
A,3.00,10,41212,356.73,0.000341,0.9996
B,2.00,10,41209,332.71,0.000273,0.9996
B,2.25,10,41209,332.71,0.000267,0.9997
B,2.50,10,41209,332.71,0.000267,0.9997
B,3.00,10,41209,332.71,0.000267,0.9997
C,2.00,10,41216,356.72,0.005811,0.8666
C,2.25,10,41216,356.72,0.005130,0.8767
C,2.50,10,41216,356.72,0.004603,0.8854
C,3.00,10,41216,356.72,0.003893,0.9043
D,2.00,10,41212,357.10,0.024879,0.8352
D,2.25,10,41212,357.10,0.022255,0.8445
D,2.50,10,41212,357.10,0.020206,0.8517
D,3.00,10,41212,357.10,0.017058,0.8682
E,2.00,10,41216,357.12,0.001063,0.9781
E,2.25,10,41216,357.12,0.000934,0.9792
E,2.50,10,41216,357.12,0.000831,0.9810
E,3.00,10,41216,357.12,0.000710,0.9836
F,2.00,10,41215,356.73,0.003899,0.8791
F,2.25,10,41215,356.73,0.003162,0.8891
F,2.50,10,41215,356.73,0.002628,0.8987
F,3.00,10,41215,356.73,0.001963,0.9116
G,2.00,10,41212,356.58,0.001032,0.9459
G,2.25,10,41212,356.58,0.000943,0.9513
G,2.50,10,41212,356.58,0.000892,0.9540
G,3.00,10,41212,356.58,0.000813,0.9562
H,2.00,10,41212,337.06,0.000339,0.9979
H,2.25,10,41212,337.06,0.000333,0.9982
H,2.50,10,41212,337.06,0.000332,0.9982
H,3.00,10,41212,337.06,0.000327,0.9982
