device,R,k,slides,meanWindowPoints,meanOutlierRate,fracZeroSlides
A,0.75,10,41214,356.73,0.000463,0.9876
A,1.00,10,41214,356.73,0.000397,0.9946
A,1.25,10,41214,356.73,0.000382,0.9954
A,1.50,10,41214,356.73,0.000367,0.9970
A,1.75,10,41214,356.73,0.000352,0.9987
B,0.75,10,41207,332.72,0.000662,0.9913
B,1.00,10,41207,332.72,0.000444,0.9957
B,1.25,10,41207,332.72,0.000368,0.9970
B,1.50,10,41207,332.72,0.000264,0.9989
B,1.75,10,41207,332.72,0.000253,0.9992
C,0.75,10,41214,356.73,0.004026,0.7940
C,1.00,10,41214,356.73,0.002566,0.8416
C,1.25,10,41214,356.73,0.001904,0.8675
C,1.50,10,41214,356.73,0.001577,0.8906
C,1.75,10,41214,356.73,0.001370,0.9055
D,0.75,10,41214,357.10,0.001680,0.9568
D,1.00,10,41214,357.10,0.000987,0.9743
D,1.25,10,41214,357.10,0.000672,0.9816
D,1.50,10,41214,357.10,0.000521,0.9885
D,1.75,10,41214,357.10,0.000392,0.9915
E,0.75,10,41214,357.13,0.000398,0.9922
E,1.00,10,41214,357.13,0.000354,0.9959
E,1.25,10,41214,357.13,0.000324,0.9986
E,1.50,10,41214,357.13,0.000320,0.9992
E,1.75,10,41214,357.13,0.000319,0.9993
F,0.75,10,41214,356.73,0.000302,0.9987
F,1.00,10,41214,356.73,0.000298,0.9992
F,1.25,10,41214,356.73,0.000296,0.9993
F,1.50,10,41214,356.73,0.000295,0.9994
F,1.75,10,41214,356.73,0.000294,0.9994
G,0.75,10,41214,356.58,0.031388,0.6612
G,1.00,10,41214,356.58,0.019266,0.7038
G,1.25,10,41214,356.58,0.013107,0.7357
G,1.50,10,41214,356.58,0.009387,0.7627
G,1.75,10,41214,356.58,0.006960,0.7906
H,0.75,10,41211,337.05,0.000676,0.9832
H,1.00,10,41211,337.05,0.000443,0.9933
H,1.25,10,41211,337.05,0.000375,0.9966
H,1.50,10,41211,337.05,0.000356,0.9974
H,1.75,10,41211,337.05,0.000345,0.9978
