device,R,k,slides,meanWindowPoints,meanOutlierRate,fracZeroSlides
A,0.75,10,41207,356.73,0.000439,0.9877
A,1.00,10,41207,356.73,0.000373,0.9946
A,1.25,10,41207,356.73,0.000358,0.9954
A,1.50,10,41207,356.73,0.000343,0.9970
A,1.75,10,41207,356.73,0.000328,0.9987
B,0.75,10,41209,332.71,0.000686,0.9912
B,1.00,10,41209,332.71,0.000468,0.9956
B,1.25,10,41209,332.71,0.000392,0.9970
B,1.50,10,41209,332.71,0.000289,0.9989
B,1.75,10,41209,332.71,0.000277,0.9992
C,0.75,10,41216,356.72,0.004050,0.7939
C,1.00,10,41216,356.72,0.002590,0.8416
C,1.25,10,41216,356.72,0.001928,0.8675
C,1.50,10,41216,356.72,0.001601,0.8906
C,1.75,10,41216,356.72,0.001395,0.9055
D,0.75,10,41216,357.10,0.001680,0.9568
D,1.00,10,41216,357.10,0.000987,0.9743
D,1.25,10,41216,357.10,0.000672,0.9816
D,1.50,10,41216,357.10,0.000521,0.9885
D,1.75,10,41216,357.10,0.000392,0.9915
E,0.75,10,41216,357.12,0.000398,0.9922
E,1.00,10,41216,357.12,0.000354,0.9959
E,1.25,10,41216,357.12,0.000324,0.9986
E,1.50,10,41216,357.12,0.000320,0.9992
E,1.75,10,41216,357.12,0.000319,0.9993
F,0.75,10,41211,356.73,0.000277,0.9988
F,1.00,10,41211,356.73,0.000273,0.9992
F,1.25,10,41211,356.73,0.000272,0.9993
F,1.50,10,41211,356.73,0.000271,0.9994
F,1.75,10,41211,356.73,0.000270,0.9995
G,0.75,10,41216,356.57,0.031386,0.6612
G,1.00,10,41216,356.57,0.019265,0.7038
G,1.25,10,41216,356.57,0.013106,0.7357
G,1.50,10,41216,356.57,0.009387,0.7627
G,1.75,10,41216,356.57,0.006959,0.7906
H,0.75,10,41213,337.05,0.000676,0.9832
H,1.00,10,41213,337.05,0.000443,0.9933
H,1.25,10,41213,337.05,0.000375,0.9966
H,1.50,10,41213,337.05,0.000356,0.9974
H,1.75,10,41213,337.05,0.000345,0.9978
