device,hiddenSize,windowLength,batchSize,ompThreads,trainWindows,trainExcluded,esWindows,epochs,esLoss,relDeltaVsRef,esLossLast10,esSdLast10,totalTrainSeconds,gradNormCount,gradNormMedian,gradNormP99,gradNormP999,gradNormMax,layerNormMedian,layerNormP99,layerNormP999,layerNormMax,learningRate,esCleanWindows,esOutlierWindows,esLossBaseline,trainedOk,trainSeconds,secPerEpoch,sanitized
C,40,30,64,1,1994,22,576,98,0.18931411,,0.20226599,0.01181788,656.4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,574,2,1.01141195,true,656.4,6.7,true
C,60,30,64,1,1994,22,576,69,0.17483017,,0.15711371,0.01448624,565.8,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,574,2,1.01141195,true,565.8,8.2,true
C,90,30,64,1,1994,22,576,61,0.18185410,,0.17880108,0.03079861,658.7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,574,2,1.01141195,true,658.7,10.8,true
C,40,60,64,1,991,17,288,100,0.19526196,,0.19758774,0.00902830,658.0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,286,2,1.01141195,true,658.0,6.6,true
C,60,60,64,1,991,17,288,100,0.17526847,,0.18920742,0.02937518,821.5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,286,2,1.01141195,true,821.5,8.2,true
C,90,60,64,1,991,17,288,72,0.14045882,,0.16344842,0.02218900,782.9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,286,2,1.01141195,true,782.9,10.9,true
C,40,120,64,1,488,16,144,100,0.20670574,,0.20974705,0.00332309,665.5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,142,2,1.01141195,true,665.5,6.7,true
C,60,120,64,1,488,16,144,91,0.15320766,,0.15148180,0.00202961,751.9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,142,2,1.01141195,true,751.9,8.3,true
C,90,120,64,1,488,16,144,69,0.18599708,,0.18777215,0.00769555,749.1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,142,2,1.01141195,true,749.1,10.9,true
E,40,30,64,1,2007,9,576,63,0.04520558,,0.04477349,0.01159467,416.1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,575,1,0.33073587,true,416.1,6.6,true
E,60,30,64,1,2007,9,576,79,0.03798391,,0.03482353,0.01496655,650.9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,575,1,0.33073587,true,650.9,8.2,true
E,90,30,64,1,2007,9,576,51,0.05068047,,0.06129473,0.02761004,552.0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,575,1,0.33073587,true,552.0,10.8,true
E,40,60,64,1,1001,7,288,76,0.02487066,,0.03040854,0.00420556,503.8,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,287,1,0.33073587,true,503.8,6.6,true
E,60,60,64,1,1001,7,288,74,0.02274606,,0.02448797,0.00496381,611.1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,287,1,0.33073587,true,611.1,8.3,true
E,90,60,64,1,1001,7,288,61,0.02232713,,0.02545767,0.00461041,665.5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,287,1,0.33073587,true,665.5,10.9,true
E,40,120,64,1,497,7,144,100,0.02030021,,0.02123301,0.00037746,674.7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,143,1,0.33073587,true,674.7,6.7,true
E,60,120,64,1,497,7,144,100,0.01960258,,0.01971476,0.00079654,835.1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,143,1,0.33073587,true,835.1,8.4,true
E,90,120,64,1,497,7,144,100,0.01968080,,0.01699178,0.00151254,1101.1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,143,1,0.33073587,true,1101.1,11.0,true
G,40,30,64,1,1982,34,576,72,0.04764865,,0.04647327,0.00515810,465.4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,568,8,0.33576147,true,465.4,6.5,true
G,60,30,64,1,1982,34,576,60,0.05209884,,0.05630674,0.02293238,484.6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,568,8,0.33576147,true,484.6,8.1,true
G,90,30,64,1,1982,34,576,52,0.05481273,,0.07801028,0.03008011,553.5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,568,8,0.33576147,true,553.5,10.6,true
G,40,60,64,1,981,27,288,100,0.03623949,,0.03763939,0.00256151,659.3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,282,6,0.33576147,true,659.3,6.6,true
G,60,60,64,1,981,27,288,55,0.03898396,,0.04562383,0.01284383,450.2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,282,6,0.33576147,true,450.2,8.2,true
G,90,60,64,1,981,27,288,82,0.03679507,,0.04225641,0.01520046,882.1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,282,6,0.33576147,true,882.1,10.8,true
G,40,120,64,1,484,20,144,100,0.04310665,,0.04354467,0.00271574,666.3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,141,3,0.33576147,true,666.3,6.7,true
G,60,120,64,1,484,20,144,55,0.03406638,,0.03408268,0.00072157,453.8,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,141,3,0.33576147,true,453.8,8.3,true
G,90,120,64,1,484,20,144,77,0.03063655,,0.02772615,0.00129076,834.4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001,141,3,0.33576147,true,834.4,10.8,true
