device,hiddenSize,windowLength,batchSize,learningRate,epoch,trainLoss,esLoss,esLossBaseline,epochSeconds
C,40,30,64,0.001,1,32.29171220,0.72448051,1.01141195,10.7
C,40,30,64,0.001,2,16.85541398,0.48617516,1.01141195,7.2
C,40,30,64,0.001,3,10.48697413,0.56656260,1.01141195,6.9
C,40,30,64,0.001,4,8.52957380,0.48432571,1.01141195,6.8
C,40,30,64,0.001,5,7.24353543,0.42658724,1.01141195,7.2
C,40,30,64,0.001,6,5.45415042,0.46547281,1.01141195,7.1
C,40,30,64,0.001,7,6.00679299,0.43560798,1.01141195,6.7
C,40,30,64,0.001,8,5.82394718,0.48116515,1.01141195,6.5
C,40,30,64,0.001,9,6.71094891,0.44964462,1.01141195,6.6
C,40,30,64,0.001,10,7.28331787,0.43018528,1.01141195,7.3
C,40,30,64,0.001,11,6.34913030,0.49293304,1.01141195,6.6
C,40,30,64,0.001,12,5.00546658,0.39705124,1.01141195,6.7
C,40,30,64,0.001,13,6.07796797,0.44619612,1.01141195,6.5
C,40,30,64,0.001,14,4.09696543,0.39049367,1.01141195,6.5
C,40,30,64,0.001,15,3.65065335,0.35549568,1.01141195,6.7
C,40,30,64,0.001,16,2.78893168,0.34094553,1.01141195,6.7
C,40,30,64,0.001,17,2.72936114,0.33795761,1.01141195,6.6
C,40,30,64,0.001,18,2.62711796,0.32136719,1.01141195,6.7
C,40,30,64,0.001,19,2.70660949,0.34696480,1.01141195,6.6
C,40,30,64,0.001,20,2.84171789,0.29972641,1.01141195,6.6
C,40,30,64,0.001,21,2.87526569,0.32599110,1.01141195,6.7
C,40,30,64,0.001,22,3.04859160,0.29965867,1.01141195,6.6
C,40,30,64,0.001,23,2.49699080,0.31218427,1.01141195,6.8
C,40,30,64,0.001,24,2.26095395,0.28143973,1.01141195,6.6
C,40,30,64,0.001,25,2.35186501,0.30882904,1.01141195,6.5
C,40,30,64,0.001,26,2.36990605,0.26705323,1.01141195,6.6
C,40,30,64,0.001,27,2.81459189,0.30776391,1.01141195,6.5
C,40,30,64,0.001,28,2.89768089,0.25307916,1.01141195,6.5
C,40,30,64,0.001,29,2.91359634,0.26474450,1.01141195,6.6
C,40,30,64,0.001,30,2.42341354,0.28338862,1.01141195,6.5
C,40,30,64,0.001,31,2.11562522,0.26936114,1.01141195,6.6
C,40,30,64,0.001,32,2.95817762,0.29540535,1.01141195,6.7
C,40,30,64,0.001,33,2.79283663,0.27580310,1.01141195,6.5
C,40,30,64,0.001,34,2.30465158,0.24944485,1.01141195,6.5
C,40,30,64,0.001,35,1.84939774,0.24421194,1.01141195,6.7
C,40,30,64,0.001,36,1.77896788,0.23426128,1.01141195,7.0
C,40,30,64,0.001,37,2.10090214,0.24213321,1.01141195,6.6
C,40,30,64,0.001,38,2.92225779,0.27878360,1.01141195,6.5
C,40,30,64,0.001,39,2.86238703,0.22655181,1.01141195,6.7
C,40,30,64,0.001,40,2.77359490,0.31344392,1.01141195,6.5
C,40,30,64,0.001,41,1.98604422,0.23527637,1.01141195,6.5
C,40,30,64,0.001,42,2.30744077,0.25775905,1.01141195,6.5
C,40,30,64,0.001,43,1.63761188,0.22566013,1.01141195,6.6
C,40,30,64,0.001,44,1.78784215,0.23623285,1.01141195,6.3
C,40,30,64,0.001,45,1.41250343,0.22012786,1.01141195,6.5
C,40,30,64,0.001,46,1.30789159,0.22188246,1.01141195,6.6
C,40,30,64,0.001,47,1.19785782,0.21715688,1.01141195,6.5
C,40,30,64,0.001,48,1.21403055,0.22669229,1.01141195,6.5
C,40,30,64,0.001,49,1.25564598,0.20332853,1.01141195,6.7
C,40,30,64,0.001,50,1.15069968,0.20498975,1.01141195,6.6
C,40,30,64,0.001,51,1.28090793,0.19332288,1.01141195,6.5
C,40,30,64,0.001,52,1.13453716,0.19351968,1.01141195,6.7
C,40,30,64,0.001,53,1.09274254,0.19259429,1.01141195,6.7
C,40,30,64,0.001,54,1.02120645,0.18392126,1.01141195,6.7
C,40,30,64,0.001,55,0.91436200,0.19806997,1.01141195,6.5
C,40,30,64,0.001,56,0.86121838,0.17501121,1.01141195,6.3
C,40,30,64,0.001,57,0.88318203,0.19573423,1.01141195,6.7
C,40,30,64,0.001,58,0.71335017,0.17789823,1.01141195,6.7
C,40,30,64,0.001,59,0.71626939,0.17893974,1.01141195,6.6
C,40,30,64,0.001,60,0.80489565,0.19377957,1.01141195,6.7
C,40,30,64,0.001,61,1.04287333,0.17666393,1.01141195,6.7
C,40,30,64,0.001,62,1.25097643,0.21362218,1.01141195,6.7
C,40,30,64,0.001,63,1.32052475,0.16988846,1.01141195,6.6
C,40,30,64,0.001,64,1.11508543,0.19643789,1.01141195,6.3
C,40,30,64,0.001,65,0.93063291,0.17398280,1.01141195,6.5
C,40,30,64,0.001,66,0.86178866,0.18696762,1.01141195,6.6
C,40,30,64,0.001,67,0.89936422,0.18959270,1.01141195,6.7
C,40,30,64,0.001,68,1.02706234,0.17659622,1.01141195,6.5
C,40,30,64,0.001,69,0.93357921,0.18399329,1.01141195,6.5
C,40,30,64,0.001,70,0.76434770,0.16555054,1.01141195,6.5
C,40,30,64,0.001,71,0.77384367,0.18652914,1.01141195,6.2
C,40,30,64,0.001,72,0.78317167,0.17691183,1.01141195,6.7
C,40,30,64,0.001,73,1.06280660,0.19292489,1.01141195,6.5
C,40,30,64,0.001,74,1.06129643,0.17849758,1.01141195,6.7
C,40,30,64,0.001,75,1.01394949,0.18407887,1.01141195,6.8
C,40,30,64,0.001,76,0.89412400,0.17026272,1.01141195,6.8
