device,hiddenSize,windowLength,batchSize,learningRate,epoch,trainLoss,esLoss,esLossBaseline,epochSeconds
E,60,60,64,0.01,1,43.31179175,0.70144716,0.33073587,27.5
E,60,60,64,0.01,2,47.57055670,0.41183685,0.33073587,23.5
E,60,60,64,0.01,3,29.61211121,0.61839285,0.33073587,22.7
E,60,60,64,0.01,4,34.71461264,0.55687343,0.33073587,22.6
E,60,60,64,0.01,5,27.34311902,0.47342542,0.33073587,22.6
E,60,60,64,0.01,6,24.15561473,0.40692413,0.33073587,22.6
E,60,60,64,0.01,7,43.23379264,0.49834187,0.33073587,22.6
E,60,60,64,0.01,8,33.65059949,0.41664393,0.33073587,22.5
E,60,60,64,0.01,9,37.98585538,0.58368898,0.33073587,22.8
E,60,60,64,0.01,10,40.34048522,0.55830162,0.33073587,22.7
E,60,60,64,0.01,11,34.86287865,0.44590508,0.33073587,22.9
E,60,60,64,0.01,12,41.97123338,0.57901616,0.33073587,22.9
E,60,60,64,0.01,13,34.45868635,0.79743109,0.33073587,22.5
E,60,60,64,0.01,14,33.91483066,0.53632138,0.33073587,22.5
E,60,60,64,0.01,15,27.89615325,0.51357376,0.33073587,22.7
E,60,60,64,0.01,16,25.57665525,0.49393480,0.33073587,22.4
E,60,60,64,0.01,17,25.87598605,0.42169486,0.33073587,24.4
E,60,60,64,0.01,18,30.47778740,0.65679689,0.33073587,22.4
E,60,60,64,0.01,19,29.17515745,0.39286883,0.33073587,22.2
E,60,60,64,0.01,20,29.25269509,0.39763046,0.33073587,23.2
E,60,60,64,0.01,21,48.90751595,0.67742729,0.33073587,22.5
E,60,60,64,0.01,22,35.08056342,0.49840953,0.33073587,22.5
E,60,60,64,0.01,23,28.95015754,0.38234435,0.33073587,22.7
E,60,60,64,0.01,24,28.52124688,0.86044434,0.33073587,22.6
E,60,60,64,0.01,25,37.09008392,0.39979964,0.33073587,22.6
E,60,60,64,0.01,26,35.08379105,0.48790423,0.33073587,22.5
E,60,60,64,0.01,27,28.23917160,0.45564615,0.33073587,22.4
E,60,60,64,0.01,28,27.72056302,0.68734456,0.33073587,22.5
E,60,60,64,0.01,29,26.00166704,0.79313453,0.33073587,22.4
E,60,60,64,0.01,30,29.40217988,0.45229791,0.33073587,22.5
E,60,60,64,0.01,31,24.48749513,0.45649154,0.33073587,22.4
E,60,60,64,0.01,32,21.77350161,0.38230972,0.33073587,22.5
E,60,60,64,0.01,33,25.41805422,0.45648788,0.33073587,22.3
E,60,60,64,0.01,34,27.13387755,0.34560165,0.33073587,22.3
E,60,60,64,0.01,35,31.99546817,0.39570904,0.33073587,22.2
E,60,60,64,0.01,36,23.96515877,0.34548240,0.33073587,22.7
E,60,60,64,0.01,37,21.19625774,0.35859838,0.33073587,22.6
E,60,60,64,0.01,38,23.17247409,0.34968470,0.33073587,22.4
E,60,60,64,0.01,39,23.54007125,0.62687578,0.33073587,22.4
E,60,60,64,0.01,40,26.27143988,0.35346633,0.33073587,22.5
E,60,60,64,0.01,41,30.78314915,0.32330202,0.33073587,22.6
E,60,60,64,0.01,42,30.59371342,0.35036459,0.33073587,22.4
E,60,60,64,0.01,43,31.89987887,0.38028840,0.33073587,22.5
E,60,60,64,0.01,44,26.28292746,0.30916636,0.33073587,22.5
E,60,60,64,0.01,45,24.98639980,0.27385578,0.33073587,22.5
E,60,60,64,0.01,46,24.05272550,0.28865597,0.33073587,22.6
E,60,60,64,0.01,47,19.28405871,0.34689144,0.33073587,22.6
E,60,60,64,0.01,48,22.18672288,0.28767201,0.33073587,22.6
E,60,60,64,0.01,49,23.42459120,0.31432245,0.33073587,22.6
E,60,60,64,0.01,50,32.33660955,0.31084596,0.33073587,22.5
E,60,60,64,0.01,51,24.77148301,0.27701127,0.33073587,22.8
E,60,60,64,0.01,52,23.36037513,0.27527834,0.33073587,22.6
E,60,60,64,0.01,53,19.61160234,0.30005369,0.33073587,22.5
E,60,60,64,0.01,54,18.20124609,0.31048847,0.33073587,22.6
E,60,60,64,0.01,55,18.89159476,0.53274260,0.33073587,22.5
E,60,60,64,0.01,56,27.17072304,0.33287975,0.33073587,22.5
E,60,60,64,0.01,57,24.54312962,0.38037814,0.33073587,22.7
E,60,60,64,0.01,58,19.49043563,0.42071637,0.33073587,22.6
E,60,60,64,0.01,59,17.77874362,0.32507668,0.33073587,22.6
E,60,60,64,0.01,60,17.59416857,0.32443620,0.33073587,22.4
E,60,60,64,0.003,1,30.09473552,0.37971729,0.33073587,22.8
E,60,60,64,0.003,2,34.96036273,0.35125726,0.33073587,22.5
E,60,60,64,0.003,3,19.95245259,0.20795047,0.33073587,22.6
E,60,60,64,0.003,4,14.29871701,0.10579373,0.33073587,22.8
E,60,60,64,0.003,5,10.40778900,0.15845284,0.33073587,22.7
E,60,60,64,0.003,6,9.31808258,0.09160821,0.33073587,22.9
E,60,60,64,0.003,7,8.90189956,0.15317072,0.33073587,22.9
E,60,60,64,0.003,8,8.32669874,0.15649850,0.33073587,22.3
E,60,60,64,0.003,9,14.16082520,0.27613572,0.33073587,22.4
E,60,60,64,0.003,10,11.15882833,0.18288265,0.33073587,22.6
E,60,60,64,0.003,11,7.78054183,0.14470417,0.33073587,22.8
E,60,60,64,0.003,12,7.05466871,0.13488916,0.33073587,23.0
E,60,60,64,0.003,13,5.82030695,0.08115101,0.33073587,22.5
E,60,60,64,0.003,14,4.53346476,0.09020999,0.33073587,22.6
E,60,60,64,0.003,15,5.39685359,0.05569799,0.33073587,22.5
E,60,60,64,0.003,16,5.56978244,0.05058593,0.33073587,22.6
E,60,60,64,0.003,17,3.82877678,0.07045668,0.33073587,22.5
E,60,60,64,0.003,18,8.75902490,0.03858954,0.33073587,22.7
E,60,60,64,0.003,19,4.93811809,0.09029622,0.33073587,22.7
E,60,60,64,0.003,20,6.41667685,0.05278805,0.33073587,22.7
E,60,60,64,0.003,21,8.49353210,0.20548142,0.33073587,22.5
E,60,60,64,0.003,22,7.11998373,0.05817351,0.33073587,22.3
E,60,60,64,0.003,23,6.31082219,0.10737075,0.33073587,22.5
E,60,60,64,0.003,24,4.14264709,0.04931974,0.33073587,22.5
E,60,60,64,0.003,25,3.18500258,0.06763567,0.33073587,22.3
E,60,60,64,0.003,26,3.47326744,0.10504539,0.33073587,22.3
E,60,60,64,0.003,27,2.91738544,0.04263122,0.33073587,22.5
E,60,60,64,0.003,28,2.20672182,0.04821069,0.33073587,22.9
E,60,60,64,0.003,29,1.53134023,0.03926435,0.33073587,22.4
E,60,60,64,0.003,30,1.37484578,0.04107003,0.33073587,22.4
E,60,60,64,0.003,31,1.31727273,0.03378964,0.33073587,22.6
E,60,60,64,0.003,32,1.36856685,0.03759451,0.33073587,22.5
E,60,60,64,0.003,33,1.32683630,0.03038629,0.33073587,22.5
E,60,60,64,0.003,34,1.36877357,0.02992066,0.33073587,22.5
E,60,60,64,0.003,35,1.13803412,0.02865268,0.33073587,22.3
E,60,60,64,0.003,36,0.95148750,0.02602705,0.33073587,22.5
E,60,60,64,0.003,37,0.77706457,0.02445574,0.33073587,22.6
E,60,60,64,0.003,38,0.74548996,0.02484206,0.33073587,22.6
E,60,60,64,0.003,39,0.79294641,0.02578142,0.33073587,22.6
E,60,60,64,0.003,40,0.89212743,0.02333741,0.33073587,22.5
E,60,60,64,0.003,41,1.07827727,0.03012899,0.33073587,22.5
E,60,60,64,0.003,42,1.42369712,0.02330438,0.33073587,22.7
E,60,60,64,0.003,43,1.45900203,0.03189698,0.33073587,22.4
E,60,60,64,0.003,44,1.44450474,0.02404936,0.33073587,22.4
E,60,60,64,0.003,45,1.17746484,0.02960036,0.33073587,22.6
E,60,60,64,0.003,46,1.04261695,0.02680408,0.33073587,22.7
E,60,60,64,0.003,47,1.03802758,0.02905029,0.33073587,22.5
E,60,60,64,0.003,48,1.54094937,0.03587228,0.33073587,22.4
E,60,60,64,0.003,49,1.66646918,0.02313641,0.33073587,22.7
